freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
600000000.0,-0.373935764122182,-0.11475474479991275,-0.007515580889280689,0.007866104019660819,0.003801595975010157,0.016318943313769728,-99.96582031,-99.97558594,-100.0048828,-99.96582031,-100.0146484,-101.5527344,-101.6015625,-101.6113281,-101.6162109,-101.6113281,-61.86035156,-61.84570312,-61.86523438,-61.84570312,-61.85546875,-66.87011719,-66.83105469,-66.875,-66.8359375,-66.87988281
602000000.0,-0.3737195975294522,-0.1034472107759571,-0.007469699440861142,0.007854697162793996,0.0038951232071343543,0.01523225906711625,-99.99023438,-100.0097656,-100.0097656,-100.0097656,-100.0097656,-101.6308594,-101.6748047,-101.6162109,-101.6357422,-101.6601562,-61.76757812,-61.77734375,-61.75292969,-61.75292969,-61.79199219,-66.75292969,-66.78710938,-66.74316406,-66.78222656,-66.78222656
604000000.0,-0.37386371982228317,-0.09242615285447649,-0.007419321267641104,0.007836482493984526,0.0038529377850065978,0.014161202102547153,-99.98535156,-99.98046875,-99.98535156,-100.0341797,-99.95117188,-101.640625,-101.6113281,-101.6064453,-101.6210938,-101.6162109,-61.69433594,-61.70898438,-61.69921875,-61.72363281,-61.74804688,-66.7578125,-66.78222656,-66.73828125,-66.79199219,-66.78222656
606000000.0,-0.37417055823811446,-0.08148633309917457,-0.007383646112705207,0.007823237336235186,0.0036830578043095257,0.013124625279786343,-99.99511719,-99.97558594,-99.97558594,-100.0146484,-100.0292969,-101.6552734,-101.6552734,-101.6650391,-101.6308594,-101.6601562,-61.64550781,-61.66015625,-61.6796875,-61.66503906,-61.70898438,-66.74804688,-66.72851562,-66.71875,-66.72363281,-66.71386719
608000000.0,-0.37266892358245235,-0.07054250486279079,-0.007335692505629782,0.007809514541062563,0.0033941582534833094,0.012145395021835528,-99.99023438,-100.0,-99.99511719,-99.99511719,-100.0097656,-101.6259766,-101.6796875,-101.6503906,-101.6455078,-101.5966797,-61.66015625,-61.67480469,-61.67480469,-61.66503906,-61.63574219,-66.69921875,-66.70898438,-66.70898438,-66.66503906,-66.7578125
610000000.0,-0.3715232242258743,-0.060026978076292065,-0.007289999290702976,0.007800206348453273,0.0029769509454897498,0.011227216503316921,-99.99511719,-99.95605469,-99.96582031,-100.0195312,-99.99511719,-101.6064453,-101.6113281,-101.6210938,-101.6357422,-101.6259766,-61.60644531,-61.63085938,-61.6015625,-61.63574219,-61.66015625,-66.66015625,-66.64550781,-66.68945312,-66.70898438,-66.70410156
612000000.0,-0.37004526470396903,-0.049151033231826784,-0.00723578637256443,0.007786717989773801,0.002468595323713803,0.010399410964701967,-99.95605469,-99.96582031,-99.97558594,-100.0097656,-99.97070312,-101.6064453,-101.6259766,-101.6455078,-101.6259766,-101.6259766,-61.60644531,-61.59179688,-61.57714844,-61.61132812,-61.55761719,-66.66503906,-66.64550781,-66.64550781,-66.62109375,-66.65527344
614000000.0,-0.3682024112093679,-0.03787524656886107,-0.007187756248646797,0.007773340721550448,0.0018547686225759263,0.00966385501786189,-99.93652344,-99.94628906,-99.98046875,-99.97558594,-99.97070312,-101.6015625,-101.6650391,-101.6308594,-101.5966797,-101.6162109,-61.5234375,-61.5625,-61.5625,-61.52832031,-61.52832031,-66.65039062,-66.62597656,-66.63085938,-66.59667969,-66.61621094
616000000.0,-0.3655117034731502,-0.027459290145200644,-0.007150428718027177,0.0077554750516478435,0.0011537903596719596,0.009033193425534184,-99.94628906,-99.95117188,-100.0146484,-99.97070312,-99.98046875,-101.5966797,-101.6015625,-101.6259766,-101.6015625,-101.6455078,-61.54296875,-61.56738281,-61.51855469,-61.53320312,-61.49414062,-66.59179688,-66.61132812,-66.60644531,-66.57226562,-66.58203125
618000000.0,-0.3620064750766438,-0.017563713420478567,-0.007099759372253015,0.00773926401270821,0.00039037465759734705,0.008524978488740252,-99.96582031,-99.921875,-99.98046875,-99.97558594,-99.95117188,-101.6455078,-101.6064453,-101.5722656,-101.6113281,-101.6162109,-61.484375,-61.49902344,-61.49414062,-61.49414062,-61.50878906,-66.59667969,-66.58691406,-66.56738281,-66.6015625,-66.56738281
620000000.0,-0.3593520856133059,-0.0076283125133697885,-0.007051984607726189,0.00772426489049199,-0.00042544997640057974,0.008143340456736913,-99.95117188,-99.93164062,-99.89257812,-99.8828125,-99.90722656,-101.5380859,-101.5673828,-101.5332031,-101.5722656,-101.5576172,-61.48925781,-61.48925781,-61.484375,-61.46972656,-61.45507812,-66.52832031,-66.53808594,-66.51855469,-66.5234375,-66.49902344
622000000.0,-0.3571022514768032,0.0024083793649284147,-0.007006900968154783,0.007708079999528021,-0.0012822670184091888,0.00789055319175433,-99.91210938,-99.95117188,-99.93652344,-99.94628906,-99.96582031,-101.5869141,-101.5576172,-101.5820312,-101.5820312,-101.5869141,-61.45507812,-61.43066406,-61.45507812,-61.44042969,-61.38671875,-66.53808594,-66.55273438,-66.53808594,-66.53320312,-66.52832031
624000000.0,-0.3538356459559402,0.012186550824558991,-0.00696401104092565,0.007692053553934,-0.0021592921579901623,0.007777273574591105,-99.90722656,-99.93652344,-99.93164062,-99.921875,-99.91210938,-101.5332031,-101.5185547,-101.5625,-101.5380859,-101.5820312,-61.42089844,-61.43554688,-61.40136719,-61.40136719,-61.39648438,-66.50878906,-66.50878906,-66.50878906,-66.46972656,-66.48925781
