freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
600000000.0,-0.46478512387988336,-0.18989648287907573,-0.007515580889280689,0.007866104019660819,0.003801595975010157,0.016318943313769728,-99.96582031,-99.97558594,-100.0048828,-99.96582031,-100.0146484,-101.5527344,-101.6015625,-101.6113281,-101.6162109,-101.6113281,-67.43164062,-67.39746094,-67.46582031,-67.41210938,-67.45117188,-72.42675781,-72.41210938,-72.41210938,-72.43164062,-72.421875
602000000.0,-0.4634322792560539,-0.17951517438403558,-0.007469699440861142,0.007854697162793996,0.0038951232071343543,0.01523225906711625,-99.99023438,-100.0097656,-100.0097656,-100.0097656,-100.0097656,-101.6308594,-101.6748047,-101.6162109,-101.6357422,-101.6601562,-67.36328125,-67.34375,-67.38769531,-67.36816406,-67.36328125,-72.34375,-72.36816406,-72.35839844,-72.37304688,-72.33398438
604000000.0,-0.46103225882563287,-0.1691433579984727,-0.007419321267641104,0.007836482493984526,0.0038529377850065978,0.014161202102547153,-99.98535156,-99.98046875,-99.98535156,-100.0341797,-99.95117188,-101.640625,-101.6113281,-101.6064453,-101.6210938,-101.6162109,-67.31445312,-67.33398438,-67.32910156,-67.32421875,-67.31445312,-72.31933594,-72.30957031,-72.33886719,-72.32421875,-72.29492188
606000000.0,-0.4590103110480886,-0.15900551879786387,-0.007383646112705207,0.007823237336235186,0.0036830578043095257,0.013124625279786343,-99.99511719,-99.97558594,-99.97558594,-100.0146484,-100.0292969,-101.6552734,-101.6552734,-101.6650391,-101.6308594,-101.6601562,-67.29492188,-67.29492188,-67.29003906,-67.29980469,-67.31445312,-72.28027344,-72.27050781,-72.29003906,-72.29492188,-72.265625
608000000.0,-0.4564340739157482,-0.1489394225979754,-0.007335692505629782,0.007809514541062563,0.0033941582534833094,0.012145395021835528,-99.99023438,-100.0,-99.99511719,-99.99511719,-100.0097656,-101.6259766,-101.6796875,-101.6503906,-101.6455078,-101.5966797,-67.27539062,-67.25097656,-67.24609375,-67.25585938,-67.24609375,-72.25097656,-72.28515625,-72.23144531,-72.2265625,-72.26074219
610000000.0,-0.454252662493555,-0.13969663959911416,-0.007289999290702976,0.007800206348453273,0.0029769509454897498,0.011227216503316921,-99.99511719,-99.95605469,-99.96582031,-100.0195312,-99.99511719,-101.6064453,-101.6113281,-101.6210938,-101.6357422,-101.6259766,-67.19238281,-67.23144531,-67.20703125,-67.1875,-67.18261719,-72.19726562,-72.2265625,-72.19238281,-72.20703125,-72.21191406
612000000.0,-0.4514800105521521,-0.1294905101112602,-0.00723578637256443,0.007786717989773801,0.002468595323713803,0.010399410964701967,-99.95605469,-99.96582031,-99.97558594,-100.0097656,-99.97070312,-101.6064453,-101.6259766,-101.6455078,-101.6259766,-101.6259766,-67.1875,-67.18261719,-67.14355469,-67.17285156,-67.17773438,-72.16308594,-72.17285156,-72.15820312,-72.15332031,-72.18261719
614000000.0,-0.44845167939022806,-0.11925236166028463,-0.007187756248646797,0.007773340721550448,0.0018547686225759263,0.00966385501786189,-99.93652344,-99.94628906,-99.98046875,-99.97558594,-99.97070312,-101.6015625,-101.6650391,-101.6308594,-101.5966797,-101.6162109,-67.17285156,-67.13378906,-67.15332031,-67.109375,-67.1484375,-72.109375,-72.15820312,-72.1484375,-72.15820312,-72.11914062
616000000.0,-0.4454841895885518,-0.10903722412765161,-0.007150428718027177,0.0077554750516478435,0.0011537903596719596,0.009033193425534184,-99.94628906,-99.95117188,-100.0146484,-99.97070312,-99.98046875,-101.5966797,-101.6015625,-101.6259766,-101.6015625,-101.6455078,-67.10449219,-67.10449219,-67.06542969,-67.08984375,-67.09472656,-72.12890625,-72.109375,-72.11425781,-72.09472656,-72.109375
618000000.0,-0.44177468101060235,-0.09969985707004698,-0.007099759372253015,0.00773926401270821,0.00039037465759734705,0.008524978488740252,-99.96582031,-99.921875,-99.98046875,-99.97558594,-99.95117188,-101.6455078,-101.6064453,-101.5722656,-101.6113281,-101.6162109,-67.07519531,-67.03125,-67.00195312,-67.08007812,-67.07519531,-72.08007812,-72.03613281,-72.05566406,-72.03613281,-72.04589844
