freq,rn,nfmin,sopt,s11,s12,s21,s22
700000000.00000,6.01973,0.06060,0.89120+0.06555j,0.82873-0.22405j,-0.00004-0.00007j,24.08242+12.74179j,0.07356-0.00979j
726000000.00000,6.01538,0.06104,0.89027+0.06767j,0.82177-0.22468j,-0.00004-0.00008j,25.35850+11.68410j,0.07563-0.00706j
752000000.00000,6.01143,0.06150,0.88931+0.06980j,0.81518-0.22504j,-0.00005-0.00009j,26.55293+10.54175j,0.07785-0.00464j
778000000.00000,6.00781,0.06197,0.88833+0.07192j,0.80895-0.22515j,-0.00006-0.00009j,27.66202+9.32265j,0.08019-0.00252j
804000000.00000,6.00447,0.06245,0.88733+0.07405j,0.80310-0.22507j,-0.00007-0.00010j,28.68279+8.03457j,0.08264-0.00069j
830000000.00000,6.00138,0.06294,0.88631+0.07617j,0.79761-0.22483j,-0.00007-0.00011j,29.61291+6.68510j,0.08518+0.00085j
856000000.00000,5.99848,0.06345,0.88526+0.07829j,0.79247-0.22447j,-0.00008-0.00011j,30.45063+5.28167j,0.08779+0.00210j
882000000.00000,5.99576,0.06397,0.88419+0.08040j,0.78767-0.22401j,-0.00010-0.00012j,31.19476+3.83146j,0.09047+0.00307j
908000000.00000,5.99318,0.06451,0.88310+0.08251j,0.78320-0.22349j,-0.00011-0.00013j,31.84462+2.34141j,0.09319+0.00375j
934000000.00000,5.99073,0.06505,0.88199+0.08462j,0.77905-0.22294j,-0.00012-0.00014j,32.39993+0.81817j,0.09594+0.00415j
960000000.00000,5.98838,0.06561,0.88085+0.08672j,0.77520-0.22237j,-0.00013-0.00014j,32.86084-0.73185j,0.09870+0.00428j
986000000.00000,5.98611,0.06618,0.87970+0.08881j,0.77163-0.22181j,-0.00015-0.00015j,33.22784-2.30256j,0.10145+0.00413j
1012000000.00000,5.98393,0.06676,0.87853+0.09090j,0.76832-0.22129j,-0.00016-0.00016j,33.50171-3.88813j,0.10419+0.00371j
1038000000.00000,5.98181,0.06735,0.87734+0.09298j,0.76525-0.22080j,-0.00018-0.00017j,33.68350-5.48303j,0.10690+0.00301j
1064000000.00000,5.97974,0.06795,0.87613+0.09506j,0.76241-0.22037j,-0.00019-0.00017j,33.77451-7.08198j,0.10956+0.00205j
1090000000.00000,5.97771,0.06856,0.87490+0.09713j,0.75977-0.22002j,-0.00021-0.00018j,33.77621-8.67998j,0.11215+0.00083j
1116000000.00000,5.97572,0.06917,0.87365+0.09919j,0.75732-0.21973j,-0.00023-0.00019j,33.69026-10.27228j,0.11467-0.00066j
1142000000.00000,5.97376,0.06980,0.87239+0.10124j,0.75503-0.21953j,-0.00025-0.00020j,33.51846-11.85438j,0.11709-0.00240j
1168000000.00000,5.97183,0.07044,0.87111+0.10329j,0.75290-0.21942j,-0.00027-0.00020j,33.26274-13.42200j,0.11939-0.00439j
1194000000.00000,5.96992,0.07108,0.86981+0.10532j,0.75090-0.21940j,-0.00030-0.00021j,32.92513-14.97107j,0.12157-0.00663j
1220000000.00000,5.96803,0.07174,0.86850+0.10735j,0.74901-0.21947j,-0.00032-0.00021j,32.50778-16.49774j,0.12361-0.00911j
1246000000.00000,5.96615,0.07240,0.86717+0.10937j,0.74723-0.21963j,-0.00034-0.00022j,32.01291-17.99833j,0.12548-0.01182j
1272000000.00000,5.96428,0.07307,0.86583+0.11138j,0.74554-0.21988j,-0.00037-0.00022j,31.44280-19.46934j,0.12718-0.01475j
1298000000.00000,5.96242,0.07374,0.86448+0.11339j,0.74391-0.22022j,-0.00040-0.00023j,30.79983-20.90745j,0.12869-0.01790j
1324000000.00000,5.96057,0.07443,0.86311+0.11538j,0.74235-0.22063j,-0.00042-0.00023j,30.08643-22.30947j,0.12999-0.02125j
1350000000.00000,5.95873,0.07511,0.86173+0.11737j,0.74084-0.22113j,-0.00045-0.00023j,29.30511-23.67238j,0.13108-0.02479j
1376000000.00000,5.95690,0.07581,0.86034+0.11934j,0.73937-0.22169j,-0.00048-0.00024j,28.45842-24.99326j,0.13192-0.02852j
1402000000.00000,5.95507,0.07651,0.85893+0.12131j,0.73793-0.22232j,-0.00051-0.00024j,27.54898-26.26937j,0.13252-0.03242j
1428000000.00000,5.95324,0.07722,0.85752+0.12327j,0.73651-0.22301j,-0.00055-0.00024j,26.57950-27.49805j,0.13285-0.03647j
1454000000.00000,5.95142,0.07793,0.85609+0.12522j,0.73511-0.22375j,-0.00058-0.00024j,25.55272-28.67680j,0.13291-0.04066j
1480000000.00000,5.94961,0.07865,0.85465+0.12716j,0.73373-0.22453j,-0.00062-0.00024j,24.47148-29.80321j,0.13267-0.04497j
1506000000.00000,5.94780,0.07938,0.85320+0.12909j,0.73235-0.22535j,-0.00065-0.00023j,23.33867-30.87500j,0.13214-0.04939j
1532000000.00000,5.94599,0.08011,0.85175+0.13101j,0.73098-0.22619j,-0.00069-0.00023j,22.15725-31.89002j,0.13129-0.05390j
1558000000.00000,5.94420,0.08084,0.85028+0.13292j,0.72961-0.22706j,-0.00073-0.00022j,20.93029-32.84624j,0.13012-0.05848j
1584000000.00000,5.94241,0.08158,0.84881+0.13482j,0.72824-0.22794j,-0.00077-0.00022j,19.66088-33.74175j,0.12862-0.06310j
1610000000.00000,5.94064,0.08232,0.84732+0.13672j,0.72688-0.22883j,-0.00081-0.00021j,18.35225-34.57478j,0.12678-0.06776j
1636000000.00000,5.93887,0.08307,0.84583+0.13860j,0.72552-0.22971j,-0.00085-0.00020j,17.00765-35.34369j,0.12460-0.07242j
1662000000.00000,5.93712,0.08382,0.84433+0.14047j,0.72416-0.23059j,-0.00089-0.00019j,15.63044-36.04700j,0.12208-0.07706j
1688000000.00000,5.93538,0.08457,0.84283+0.14234j,0.72281-0.23146j,-0.00094-0.00018j,14.22405-36.68338j,0.11920-0.08167j
1714000000.00000,5.93365,0.08533,0.84132+0.14420j,0.72148-0.23231j,-0.00098-0.00016j,12.79195-37.25163j,0.11597-0.08621j
1740000000.00000,5.93194,0.08609,0.83980+0.14604j,0.72015-0.23314j,-0.00103-0.00015j,11.33771-37.75076j,0.11239-0.09067j
1766000000.00000,5.93025,0.08685,0.83828+0.14788j,0.71885-0.23394j,-0.00107-0.00013j,9.86493-38.17993j,0.10846-0.09502j
1792000000.00000,5.92858,0.08762,0.83675+0.14971j,0.71758-0.23471j,-0.00112-0.00011j,8.37727-38.53849j,0.10418-0.09923j
1818000000.00000,5.92693,0.08839,0.83521+0.15153j,0.71633-0.23545j,-0.00117-0.00008j,6.87842-38.82598j,0.09957-0.10328j
1844000000.00000,5.92530,0.08916,0.83367+0.15334j,0.71512-0.23615j,-0.00121-0.00006j,5.37210-39.04212j,0.09462-0.10716j
1870000000.00000,5.92371,0.08993,0.83213+0.15514j,0.71396-0.23682j,-0.00126-0.00003j,3.86206-39.18686j,0.08934-0.11083j
1896000000.00000,5.92214,0.09071,0.83058+0.15694j,0.71284-0.23746j,-0.00131-0.00001j,2.35201-39.26033j,0.08376-0.11427j
1922000000.00000,5.92060,0.09149,0.82903+0.15872j,0.71178-0.23806j,-0.00136+0.00003j,0.84569-39.26287j,0.07787-0.11746j
1948000000.00000,5.91910,0.09227,0.82747+0.16050j,0.71078-0.23863j,-0.00141+0.00006j,-0.65321-39.19502j,0.07170-0.12039j
1974000000.00000,5.91764,0.09305,0.82591+0.16227j,0.70984-0.23916j,-0.00146+0.00009j,-2.14106-39.05752j,0.06527-0.12302j
2000000000.00000,5.91621,0.09384,0.82435+0.16403j,0.70898-0.23967j,-0.00151+0.00013j,-3.61427-38.85132j,0.05858-0.12535j
